area_type,availability,location,size(BHK),total_sqft,bath,balcony,price,price_per_sqft
Super built-up  Area,Ready To Move,Hulimavu,2.0,1248.0,2.0,1.0,69.0,0.055288461538461536
Built-up  Area,Ready To Move,Other,2.0,1147.0,2.0,1.0,54.0,0.047079337401918046
Super built-up  Area,Ready To Move,Sultan Palaya,2.0,1100.0,2.0,2.0,40.0,0.03636363636363636
Super built-up  Area,Ready To Move,Vijayanagar,3.0,1527.0,3.0,2.0,115.0,0.07531106745252128
Plot  Area,Ready To Move,Other,5.0,2400.0,5.0,2.0,235.0,0.09791666666666667
Super built-up  Area,Under Construction,Kanakpura Road,1.0,525.0,1.0,1.0,25.0,0.047619047619047616
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1100.0,2.0,3.0,58.0,0.05272727272727273
Super built-up  Area,Under Construction,Seegehalli,2.0,1118.0,2.0,2.0,37.5,0.03354203935599284
Super built-up  Area,Under Construction,Kanakapura,3.0,1476.0,3.0,1.0,75.0,0.0508130081300813
Built-up  Area,Ready To Move,Other,3.0,2100.0,3.0,1.0,75.0,0.03571428571428571
Super built-up  Area,Under Construction,Other,3.0,1215.0,2.0,2.0,46.5,0.03827160493827161
Super built-up  Area,Ready To Move,Ambalipura,2.0,1332.0,2.0,1.0,79.0,0.05930930930930931
Super built-up  Area,Ready To Move,Hennur Road,2.0,1350.0,2.0,3.0,49.0,0.0362962962962963
Plot  Area,Ready To Move,Kothannur,4.0,600.0,4.0,1.0,81.0,0.135
Super built-up  Area,Ready To Move,NGR Layout,2.0,1105.0,2.0,2.0,49.73,0.045004524886877825
Plot  Area,Ready To Move,Padmanabhanagar,3.0,1500.0,2.0,1.0,200.0,0.13333333333333333
Super built-up  Area,Ready To Move,Kasavanhalli,2.0,1200.0,2.0,2.0,50.0,0.041666666666666664
Super built-up  Area,Under Construction,Ramagondanahalli,2.0,1251.0,2.0,1.0,47.4,0.03788968824940048
Super built-up  Area,Ready To Move,Pai Layout,3.0,1400.0,2.0,3.0,67.0,0.047857142857142855
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,1800.0,3.0,3.0,260.0,0.14444444444444443
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1703.0,3.0,2.0,113.0,0.06635349383440986
Super built-up  Area,Ready To Move,NRI Layout,5.0,2500.0,5.0,3.0,130.0,0.052
Super built-up  Area,Ready To Move,Varthur,3.0,1250.0,3.0,2.0,71.0,0.0568
Super built-up  Area,Ready To Move,Jigani,2.0,933.0,2.0,2.0,43.0,0.04608788853161844
Plot  Area,Ready To Move,Other,1.0,461.82,1.0,1.0,31.7,0.06864146204148802
Super built-up  Area,Ready To Move,Brookefield,2.0,1262.0,2.0,1.0,75.0,0.059429477020602216
Super built-up  Area,Ready To Move,Yelahanka,2.0,915.0,2.0,2.0,48.0,0.05245901639344262
Super built-up  Area,Ready To Move,Panathur,3.0,1370.0,2.0,2.0,61.5,0.04489051094890511
Super built-up  Area,Ready To Move,Malleshpalya,2.0,1210.0,2.0,3.0,55.0,0.045454545454545456
Super built-up  Area,Ready To Move,Kodihalli,3.0,2392.0,4.0,2.0,260.0,0.10869565217391304
Plot  Area,Under Construction,Other,3.0,1500.0,2.0,0.0,85.0,0.056666666666666664
Super built-up  Area,Ready To Move,Other,2.0,1065.0,2.0,3.0,50.0,0.046948356807511735
Super built-up  Area,Ready To Move,Rajaji Nagar,4.0,3100.0,4.0,2.0,570.0,0.18387096774193548
Super built-up  Area,Ready To Move,Ramamurthy Nagar,3.0,1515.0,3.0,3.0,65.0,0.0429042904290429
Plot  Area,Under Construction,Sarjapura - Attibele Road,4.0,1800.0,4.0,2.0,110.0,0.06111111111111111
Super built-up  Area,Ready To Move,Thanisandra,3.0,1445.0,2.0,3.0,40.31,0.0278961937716263
Super built-up  Area,Ready To Move,Uttarahalli,3.0,1300.0,2.0,1.0,55.0,0.04230769230769231
Built-up  Area,Ready To Move,Vijayanagar,2.0,989.0,2.0,0.0,60.0,0.06066734074823053
Super built-up  Area,Ready To Move,Jakkur,2.0,1300.0,2.0,1.0,85.0,0.06538461538461539
Super built-up  Area,Under Construction,Chandapura,3.0,1185.0,2.0,2.0,30.22,0.02550210970464135
Plot  Area,Ready To Move,Battarahalli,5.0,1350.0,3.0,1.0,110.0,0.08148148148148149
Super built-up  Area,Ready To Move,Marathahalli,2.0,1045.0,2.0,3.0,60.0,0.05741626794258373
Super built-up  Area,Under Construction,Other,2.0,1205.0,2.0,2.0,42.18,0.03500414937759336
Super built-up  Area,Ready To Move,Other,2.0,1260.0,2.0,1.0,75.0,0.05952380952380952
Plot  Area,Ready To Move,Other,5.0,1320.0,5.0,2.0,199.0,0.15075757575757576
Super built-up  Area,Ready To Move,Ulsoor,3.0,1500.0,2.0,2.0,125.0,0.08333333333333333
Super built-up  Area,Under Construction,Bommanahalli,3.0,1250.0,2.0,2.0,42.5,0.034
Built-up  Area,Under Construction,Other,2.0,1199.0,2.0,2.0,50.0,0.041701417848206836
Super built-up  Area,Ready To Move,Hennur Road,2.0,1385.0,2.0,1.0,83.09,0.059992779783393506
Plot  Area,Ready To Move,Other,6.0,1222.0,5.0,3.0,250.0,0.20458265139116202
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2.0,1149.0,2.0,1.0,75.0,0.06527415143603134
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,2180.0,3.0,2.0,170.0,0.0779816513761468
Plot  Area,Ready To Move,TC Palaya,8.0,1200.0,7.0,1.0,110.0,0.09166666666666666
Super built-up  Area,Ready To Move,Other,10.0,12000.0,12.0,2.0,525.0,0.04375
Plot  Area,Ready To Move,Other,5.0,1200.0,5.0,0.0,195.0,0.1625
Super built-up  Area,Ready To Move,Hulimavu,3.0,1818.0,3.0,1.0,135.0,0.07425742574257425
Super built-up  Area,Ready To Move,Other,2.0,1070.0,2.0,2.0,33.0,0.0308411214953271
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,1640.0,3.0,2.0,241.0,0.1469512195121951
Built-up  Area,Ready To Move,Nagarbhavi,3.0,1350.0,2.0,2.0,54.6,0.04044444444444444
Built-up  Area,Ready To Move,Chandapura,2.0,630.0,1.0,1.0,27.0,0.04285714285714286
Super built-up  Area,Under Construction,Hoodi,2.0,1430.0,2.0,2.0,113.0,0.07902097902097902
Super built-up  Area,Ready To Move,Nagavara,3.0,2430.0,4.0,3.0,180.0,0.07407407407407407
Plot  Area,Ready To Move,Other,6.0,1500.0,7.0,3.0,220.0,0.14666666666666667
Super built-up  Area,Ready To Move,Sarjapur  Road,2.0,1084.0,2.0,3.0,55.0,0.0507380073800738
Super built-up  Area,Ready To Move,Hennur Road,3.0,1186.0,2.0,1.0,56.0,0.047217537942664416
Built-up  Area,Ready To Move,Kengeri,2.0,1255.0,2.0,2.0,50.0,0.0398406374501992
Super built-up  Area,Ready To Move,Haralur Road,4.0,3400.0,5.0,3.0,240.0,0.07058823529411765
Super built-up  Area,Under Construction,Hosa Road,3.0,1541.0,3.0,1.0,69.84,0.04532121998702142
Super built-up  Area,Ready To Move,Iblur Village,4.0,3596.0,5.0,1.0,282.0,0.07842046718576196
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1295.0,2.0,2.0,70.0,0.05405405405405406
Built-up  Area,Ready To Move,Other,3.0,2820.0,3.0,2.0,285.0,0.10106382978723404
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1370.0,2.0,2.0,54.79,0.03999270072992701
Super built-up  Area,Ready To Move,Electronic City,2.0,1100.0,2.0,1.0,40.0,0.03636363636363636
Super built-up  Area,Under Construction,Hebbal,4.0,4772.0,6.0,2.0,510.0,0.10687342833193629
Super built-up  Area,Ready To Move,Rajaji Nagar,2.0,1370.0,2.0,1.0,170.0,0.12408759124087591
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3.0,1370.0,2.0,1.0,54.79,0.03999270072992701
Super built-up  Area,Ready To Move,JP Nagar,2.0,1200.0,2.0,2.0,62.0,0.051666666666666666
Plot  Area,Ready To Move,Gunjur,4.0,2000.0,3.0,0.0,95.0,0.0475
Built-up  Area,Ready To Move,9th Phase JP Nagar,4.0,3500.0,4.0,2.0,300.0,0.08571428571428572
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5.0,1200.0,4.0,3.0,240.0,0.2
Plot  Area,Ready To Move,Kengeri,4.0,2400.0,5.0,2.0,253.0,0.10541666666666667
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1220.0,3.0,2.0,62.0,0.05081967213114754
Built-up  Area,Ready To Move,Other,3.0,1950.0,3.0,2.0,130.0,0.06666666666666667
Super built-up  Area,Ready To Move,Somasundara Palya,2.0,1178.0,2.0,3.0,73.0,0.06196943972835314
Super built-up  Area,Ready To Move,Dasanapura,3.0,1286.0,3.0,2.0,61.44,0.0477760497667185
Super built-up  Area,Ready To Move,Begur Road,2.0,1160.0,2.0,2.0,42.0,0.03620689655172414
Super built-up  Area,Ready To Move,Jigani,2.0,918.0,2.0,2.0,55.0,0.05991285403050109
Super built-up  Area,Under Construction,Electronic City,3.0,1563.0,3.0,2.0,91.84,0.05875879718490083
Super built-up  Area,Under Construction,Other,2.0,1326.0,2.0,1.0,62.17,0.046885369532428355
Super built-up  Area,Ready To Move,Other,3.0,1350.0,2.0,2.0,140.0,0.1037037037037037
Super built-up  Area,Under Construction,Hebbal,4.0,3960.0,5.0,3.0,386.0,0.09747474747474748
Super built-up  Area,Ready To Move,Begur Road,2.0,1240.0,2.0,2.0,39.06,0.0315
Super built-up  Area,Ready To Move,Kaggadasapura,2.0,1325.0,2.0,2.0,50.0,0.03773584905660377
Super built-up  Area,Ready To Move,Sonnenahalli,2.0,1100.0,2.0,1.0,44.0,0.04
Super built-up  Area,Ready To Move,Cunningham Road,3.0,3875.0,3.0,2.0,800.0,0.2064516129032258
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,3.0,1605.0,3.0,2.0,50.0,0.03115264797507788
Super built-up  Area,Ready To Move,Hennur Road,5.0,5600.0,5.0,3.0,515.0,0.09196428571428572
Super built-up  Area,Ready To Move,Somasundara Palya,2.0,1260.0,2.0,1.0,60.0,0.047619047619047616
Super built-up  Area,Under Construction,Hoodi,3.0,1553.0,3.0,2.0,83.09,0.05350289761751449
Super built-up  Area,Ready To Move,Whitefield,2.0,1280.0,2.0,2.0,52.0,0.040625
Super built-up  Area,Ready To Move,Hebbal,3.0,1550.0,2.0,2.0,75.0,0.04838709677419355
Super built-up  Area,Ready To Move,Arekere,3.0,1445.0,2.0,2.0,125.0,0.08650519031141868
Super built-up  Area,Ready To Move,Murugeshpalya,3.0,1550.0,3.0,2.0,74.0,0.04774193548387097
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1515.0,2.0,1.0,80.91,0.053405940594059405
Super built-up  Area,Under Construction,Hosa Road,3.0,1332.0,2.0,1.0,86.12,0.06465465465465466
Super built-up  Area,Ready To Move,Electronic City,3.0,1652.0,3.0,2.0,70.0,0.0423728813559322
Super built-up  Area,Ready To Move,Hegde Nagar,3.0,1570.0,3.0,1.0,105.0,0.06687898089171974
Plot  Area,Ready To Move,Sarjapur  Road,4.0,5400.0,4.0,3.0,725.0,0.13425925925925927
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,1.0,794.0,1.0,1.0,60.0,0.07556675062972293
Plot  Area,Ready To Move,Seegehalli,3.0,1200.0,2.0,0.0,62.0,0.051666666666666666
Built-up  Area,Ready To Move,7th Phase JP Nagar,4.0,3600.0,3.0,2.0,410.0,0.11388888888888889
Plot  Area,Ready To Move,Hosakerehalli,3.0,1200.0,3.0,2.0,175.0,0.14583333333333334
Super built-up  Area,Ready To Move,JP Nagar,4.0,1650.0,3.0,1.0,220.0,0.13333333333333333
Plot  Area,Ready To Move,Other,4.0,600.0,2.0,1.0,85.0,0.14166666666666666
Super built-up  Area,Ready To Move,HRBR Layout,3.0,2800.0,3.0,2.0,250.0,0.08928571428571429
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1750.0,3.0,2.0,110.0,0.06285714285714286
Built-up  Area,Ready To Move,Hebbal,2.0,1053.0,2.0,1.0,48.0,0.045584045584045586
Super built-up  Area,Ready To Move,Kadubeesanahalli,3.0,1665.0,3.0,3.0,70.0,0.042042042042042045
Plot  Area,Ready To Move,Other,4.0,4051.0,4.0,3.0,345.0,0.08516415699827203
Plot  Area,Ready To Move,Malleshwaram,4.0,5500.0,5.0,1.0,1500.0,0.2727272727272727
Built-up  Area,Ready To Move,Bommasandra,3.0,1447.0,3.0,2.0,80.0,0.055286800276434005
Built-up  Area,Ready To Move,Balagere,2.0,1012.0,2.0,1.0,75.0,0.0741106719367589
Super built-up  Area,Ready To Move,Malleshpalya,3.0,1900.0,3.0,2.0,60.0,0.031578947368421054
Super built-up  Area,Ready To Move,Other,2.0,1308.0,2.0,2.0,92.66,0.07084097859327217
Super built-up  Area,Ready To Move,Green Glen Layout,4.0,3250.0,4.0,2.0,230.0,0.07076923076923076
Super built-up  Area,Ready To Move,Hormavu,1.0,1351.0,2.0,1.0,53.0,0.03923019985196151
Super built-up  Area,Ready To Move,Electronic City,2.0,1000.0,2.0,2.0,22.0,0.022
Plot  Area,Ready To Move,Other,4.0,1200.0,4.0,2.0,350.0,0.2916666666666667
Super built-up  Area,Under Construction,Gunjur,2.0,1140.0,2.0,2.0,49.11,0.04307894736842105
Super built-up  Area,Under Construction,Jakkur,4.0,3181.0,4.0,0.0,260.5,0.08189248663942157
Built-up  Area,Ready To Move,Uttarahalli,3.0,1250.0,2.0,1.0,55.0,0.044
Super built-up  Area,Ready To Move,Kanakapura,3.0,1290.0,3.0,3.0,45.15,0.034999999999999996
Super built-up  Area,Ready To Move,Garudachar Palya,3.0,1320.0,2.0,2.0,60.6,0.04590909090909091
Built-up  Area,Ready To Move,Akshaya Nagar,3.0,1662.0,3.0,2.0,85.5,0.05144404332129964
Super built-up  Area,Ready To Move,Other,5.0,8321.0,5.0,3.0,2700.0,0.3244802307414974
Built-up  Area,Ready To Move,Koramangala,3.0,1975.0,3.0,2.0,210.0,0.10632911392405063
Super built-up  Area,Ready To Move,Garudachar Palya,3.0,1295.0,2.0,2.0,59.5,0.04594594594594595
Super built-up  Area,Ready To Move,Battarahalli,3.0,1777.0,3.0,2.0,100.0,0.056274620146314014
Super built-up  Area,Under Construction,Kadugodi,3.0,1900.0,3.0,2.0,108.0,0.056842105263157895
Super built-up  Area,Under Construction,Anandapura,3.0,1576.0,3.0,2.0,59.1,0.0375
Super built-up  Area,Ready To Move,Sompura,2.0,1020.0,2.0,3.0,41.0,0.04019607843137255
Super built-up  Area,Ready To Move,Other,3.0,2100.0,3.0,3.0,170.0,0.08095238095238096
Super built-up  Area,Under Construction,Raja Rajeshwari Nagar,1.0,648.0,1.0,1.0,31.75,0.048996913580246916
Super built-up  Area,Ready To Move,Neeladri Nagar,3.0,1167.0,2.0,1.0,38.0,0.032562125107112254
Plot  Area,Ready To Move,Other,7.0,1000.0,7.0,3.0,160.0,0.16
Super built-up  Area,Ready To Move,Hoodi,2.0,1220.0,2.0,2.0,50.89,0.04171311475409836
Super built-up  Area,Ready To Move,Kogilu,3.0,2350.0,5.0,1.0,327.0,0.13914893617021276
Super built-up  Area,Ready To Move,Vittasandra,2.0,1259.0,2.0,1.0,67.4,0.053534551231135825
Built-up  Area,Ready To Move,Gottigere,4.0,2000.0,4.0,2.0,82.0,0.041
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3.0,1800.0,3.0,1.0,80.0,0.044444444444444446
Built-up  Area,Ready To Move,Other,3.0,1991.0,3.0,2.0,160.0,0.0803616273229533
Super built-up  Area,Ready To Move,Bannerghatta,3.0,1665.0,3.0,3.0,110.0,0.06606606606606606
Built-up  Area,Under Construction,Other,2.0,1234.0,2.0,1.0,61.0,0.04943273905996758
Super built-up  Area,Ready To Move,Mysore Road,3.0,1340.0,2.0,2.0,64.31,0.04799253731343284
Super built-up  Area,Ready To Move,Banashankari,2.0,1170.0,2.0,2.0,46.79,0.03999145299145299
Built-up  Area,Ready To Move,Electronics City Phase 1,2.0,995.0,2.0,0.0,46.0,0.04623115577889447
Super built-up  Area,Ready To Move,Old Airport Road,2.0,1075.0,2.0,2.0,60.0,0.05581395348837209
Super built-up  Area,Under Construction,Electronic City,2.0,1025.0,2.0,1.0,54.5,0.05317073170731707
Super built-up  Area,Ready To Move,Rachenahalli,3.0,2721.0,3.0,2.0,113.0,0.04152884968761485
Super built-up  Area,Ready To Move,Thanisandra,3.0,2000.0,3.0,2.0,99.0,0.0495
Super built-up  Area,Ready To Move,Whitefield,4.0,2500.0,4.0,3.0,155.0,0.062
Super built-up  Area,Ready To Move,Mallasandra,2.0,1325.0,2.0,2.0,70.0,0.052830188679245285
Super built-up  Area,Under Construction,Kadugodi,2.0,1314.0,2.0,3.0,68.2,0.05190258751902588
Super built-up  Area,Under Construction,Kanakpura Road,3.0,2265.0,3.0,2.0,136.0,0.060044150110375276
Built-up  Area,Ready To Move,7th Phase JP Nagar,7.0,4800.0,7.0,0.0,170.0,0.035416666666666666
Super built-up  Area,Under Construction,Yelahanka,2.0,1026.0,2.0,1.0,41.0,0.03996101364522417
Built-up  Area,Ready To Move,Other,3.0,1200.0,3.0,2.0,66.0,0.055
Built-up  Area,Ready To Move,Other,3.0,2220.0,4.0,2.0,65.0,0.02927927927927928
Super built-up  Area,Under Construction,KR Puram,2.0,1192.5,2.0,0.0,51.22,0.042951781970649895
Super built-up  Area,Under Construction,Hebbal,2.0,1420.0,2.0,1.0,99.39,0.06999295774647887
Super built-up  Area,Ready To Move,Sarjapur  Road,3.0,1888.0,4.0,1.0,95.0,0.05031779661016949
Super built-up  Area,Under Construction,JP Nagar,2.0,1300.0,2.0,1.0,90.87,0.0699
Super built-up  Area,Under Construction,Rajaji Nagar,2.0,1216.0,2.0,0.0,97.16,0.07990131578947368
Plot  Area,Under Construction,Other,4.0,3000.0,4.0,3.0,342.0,0.114
Built-up  Area,Ready To Move,Begur,3.0,1559.0,3.0,2.0,63.0,0.040410519563822966
Super built-up  Area,Ready To Move,Harlur,2.0,1290.0,2.0,1.0,87.0,0.06744186046511629
Plot  Area,Ready To Move,Other,6.0,2400.0,6.0,2.0,245.0,0.10208333333333333
Built-up  Area,Under Construction,Whitefield,1.0,905.0,1.0,1.0,55.0,0.06077348066298342
Built-up  Area,Ready To Move,Other,2.0,1069.0,2.0,2.0,55.0,0.05144995322731525
Super built-up  Area,Under Construction,Sarjapura - Attibele Road,2.0,829.0,2.0,1.0,22.8,0.027503015681544028
Built-up  Area,Ready To Move,Koramangala,2.0,1900.0,2.0,1.0,200.0,0.10526315789473684
Built-up  Area,Ready To Move,Other,5.0,1280.0,5.0,1.0,140.0,0.109375
Built-up  Area,Ready To Move,Sarjapur  Road,3.0,1300.0,3.0,2.0,60.0,0.046153846153846156
Super built-up  Area,Ready To Move,Channasandra,2.0,1115.0,2.0,1.0,33.45,0.030000000000000002
Super built-up  Area,Ready To Move,Rajaji Nagar,3.0,2409.0,3.0,2.0,360.0,0.149439601494396
Super built-up  Area,Ready To Move,Ambedkar Nagar,3.0,2150.0,4.0,2.0,125.0,0.05813953488372093
Super built-up  Area,Under Construction,Marathahalli,3.0,1305.0,2.0,1.0,69.0,0.052873563218390804
Super built-up  Area,Under Construction,Kanakpura Road,2.0,1252.0,2.0,1.0,56.32,0.04498402555910543
Plot  Area,Ready To Move,Hosakerehalli,5.0,2400.0,5.0,2.0,250.0,0.10416666666666667
Plot  Area,Under Construction,Whitefield,2.0,1200.0,2.0,1.0,46.13,0.038441666666666666
Built-up  Area,Ready To Move,Koramangala,3.0,1750.0,3.0,1.0,130.0,0.07428571428571429
Super built-up  Area,Ready To Move,Electronic City Phase II,2.0,545.0,1.0,1.0,35.0,0.06422018348623854
Plot  Area,Ready To Move,Other,2.0,1375.0,2.0,1.0,105.0,0.07636363636363637
Super built-up  Area,Ready To Move,Subramanyapura,2.0,1313.0,2.0,2.0,66.5,0.05064737242955065
Plot  Area,Ready To Move,Attibele,4.0,3640.0,4.0,1.0,275.0,0.07554945054945054
Super built-up  Area,Under Construction,Other,3.0,1693.0,3.0,2.0,108.0,0.0637920850561134
Super built-up  Area,Ready To Move,Other,2.0,1160.0,2.0,1.0,41.75,0.03599137931034483
Plot  Area,Ready To Move,Other,3.0,1200.0,3.0,0.0,200.0,0.16666666666666666
Super built-up  Area,Ready To Move,Subramanyapura,3.0,1255.0,2.0,2.0,79.0,0.06294820717131475
Plot  Area,Ready To Move,KR Puram,4.0,1000.0,4.0,1.0,75.0,0.075
Built-up  Area,Ready To Move,Other,2.0,900.0,2.0,1.0,45.0,0.05
Super built-up  Area,Ready To Move,Yelahanka New Town,3.0,1700.0,3.0,2.0,90.0,0.052941176470588235
Carpet  Area,Ready To Move,Indira Nagar,3.0,1875.0,3.0,1.0,180.0,0.096
Carpet  Area,Ready To Move,Uttarahalli,3.0,1700.0,3.0,2.0,88.0,0.05176470588235294
Super built-up  Area,Ready To Move,Harlur,3.0,1749.0,3.0,2.0,115.0,0.06575185820468839
Plot  Area,Ready To Move,Dasanapura,2.0,1500.0,3.0,1.0,65.0,0.043333333333333335
Super built-up  Area,Ready To Move,Other,2.0,1175.0,2.0,1.0,48.0,0.04085106382978723
Built-up  Area,Ready To Move,Akshaya Nagar,2.0,1280.0,2.0,1.0,60.0,0.046875
Built-up  Area,Ready To Move,Other,2.0,1200.0,2.0,2.0,50.0,0.041666666666666664
Super built-up  Area,Ready To Move,Ramagondanahalli,3.0,1610.0,2.0,2.0,115.0,0.07142857142857142
Super built-up  Area,Ready To Move,Electronic City,2.0,1070.0,2.0,1.0,46.0,0.04299065420560748
Plot  Area,Ready To Move,TC Palaya,2.0,1200.0,2.0,0.0,66.0,0.055
Super built-up  Area,Under Construction,9th Phase JP Nagar,2.0,1127.0,2.0,1.0,50.0,0.044365572315882874
Built-up  Area,Ready To Move,Indira Nagar,2.0,1210.0,2.0,1.0,102.0,0.08429752066115702
Built-up  Area,Ready To Move,Other,2.0,600.0,2.0,1.0,23.0,0.03833333333333333
Super built-up  Area,Ready To Move,Thigalarapalya,4.0,4190.0,4.0,3.0,380.0,0.09069212410501193
Super built-up  Area,Ready To Move,Other,2.0,1364.0,2.0,2.0,70.0,0.051319648093841645
Super built-up  Area,Ready To Move,Whitefield,4.0,2268.0,3.0,0.0,146.0,0.06437389770723104
Super built-up  Area,Ready To Move,Other,3.0,1150.0,2.0,2.0,77.5,0.06739130434782609
Super built-up  Area,Ready To Move,Other,2.0,1146.0,2.0,1.0,39.5,0.03446771378708551
Built-up  Area,Ready To Move,Magadi Road,2.0,1345.0,2.0,2.0,55.0,0.040892193308550186
Super built-up  Area,Ready To Move,Other,2.0,1110.0,2.0,2.0,41.0,0.036936936936936934
Built-up  Area,Ready To Move,Kengeri,2.0,750.0,2.0,1.0,36.0,0.048
Built-up  Area,Ready To Move,Other,2.0,1156.0,2.0,2.0,49.5,0.042820069204152246
Super built-up  Area,Ready To Move,Other,2.0,1247.0,2.0,1.0,59.8,0.047955092221331194
Super built-up  Area,Ready To Move,Other,2.0,1058.0,2.0,2.0,60.0,0.05671077504725898
Super built-up  Area,Ready To Move,Kaggalipura,2.0,950.0,2.0,1.0,48.0,0.05052631578947368
Super built-up  Area,Ready To Move,Other,2.0,420.0,2.0,0.0,35.0,0.08333333333333333
Plot  Area,Ready To Move,Other,4.0,600.0,2.0,2.0,90.0,0.15
Super built-up  Area,Under Construction,Vijayanagar,3.0,1520.0,2.0,1.0,103.0,0.06776315789473684
Built-up  Area,Ready To Move,Other,1.0,900.0,1.0,1.0,30.0,0.03333333333333333
Super built-up  Area,Ready To Move,Hennur Road,3.0,2350.0,3.0,2.0,174.0,0.07404255319148936
Super built-up  Area,Ready To Move,Thanisandra,2.0,1050.0,2.0,2.0,46.0,0.04380952380952381
Super built-up  Area,Ready To Move,Other,3.0,1672.0,3.0,2.0,150.0,0.08971291866028708
Plot  Area,Ready To Move,Laggere,5.0,2800.0,5.0,2.0,125.0,0.044642857142857144
Super built-up  Area,Ready To Move,Other,3.0,1500.0,2.0,2.0,65.0,0.043333333333333335
Super built-up  Area,Ready To Move,Other,2.0,1400.0,2.0,2.0,65.0,0.04642857142857143
Plot  Area,Under Construction,Whitefield,4.0,1280.0,4.0,2.0,378.0,0.2953125
Built-up  Area,Ready To Move,8th Phase JP Nagar,4.0,2700.0,4.0,2.0,130.0,0.04814814814814815
Super built-up  Area,Under Construction,Bommasandra,2.0,920.0,2.0,1.0,37.46,0.04071739130434783
Plot  Area,Under Construction,Sarjapur  Road,3.0,1200.0,3.0,2.0,70.0,0.058333333333333334
Built-up  Area,Ready To Move,Other,3.0,1250.0,3.0,2.0,139.0,0.1112
Super built-up  Area,Under Construction,Hosakerehalli,3.0,1817.0,4.0,2.0,153.0,0.08420473307649973
Plot  Area,Ready To Move,Cooke Town,5.0,2043.0,6.0,2.0,375.0,0.18355359765051396
Built-up  Area,Ready To Move,Yelahanka,4.0,4346.0,4.0,1.0,450.0,0.10354348826507133
Super built-up  Area,Ready To Move,Haralur Road,2.0,1464.0,2.0,2.0,56.0,0.03825136612021858
Super built-up  Area,Ready To Move,Other,2.0,1468.0,3.0,2.0,130.0,0.0885558583106267
Super built-up  Area,Ready To Move,Electronics City Phase 1,3.0,1555.0,2.0,1.0,82.0,0.052733118971061095
Plot  Area,Ready To Move,Munnekollal,6.0,1200.0,4.0,2.0,110.0,0.09166666666666666
Built-up  Area,Ready To Move,Whitefield,2.0,1150.0,2.0,0.0,55.0,0.04782608695652174
Super built-up  Area,Under Construction,Kadubeesanahalli,2.0,970.0,2.0,1.0,35.0,0.03608247422680412
Super built-up  Area,Under Construction,Banashankari,4.0,2500.0,4.0,3.0,95.0,0.038
Super built-up  Area,Ready To Move,Other,2.0,1166.0,2.0,1.0,53.0,0.045454545454545456
Plot  Area,Ready To Move,Konanakunte,3.0,2779.0,3.0,1.0,317.0,0.11406980928391508
Super built-up  Area,Ready To Move,Electronic City,3.0,1350.0,3.0,2.0,58.0,0.04296296296296296
Built-up  Area,Ready To Move,Other,2.0,900.0,2.0,3.0,46.0,0.051111111111111114
Built-up  Area,Ready To Move,Other,3.0,1190.0,3.0,1.0,55.0,0.046218487394957986
Super built-up  Area,Ready To Move,Kodichikkanahalli,3.0,1495.0,2.0,2.0,75.0,0.05016722408026756
Built-up  Area,Ready To Move,Indira Nagar,2.0,1224.0,2.0,2.0,105.0,0.0857843137254902
Super built-up  Area,Ready To Move,Banashankari Stage III,3.0,1350.0,2.0,2.0,68.0,0.05037037037037037
Built-up  Area,Ready To Move,Green Glen Layout,2.0,940.0,2.0,1.0,56.8,0.06042553191489362
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2.0,1100.0,2.0,1.0,55.0,0.05
Super built-up  Area,Ready To Move,Kaikondrahalli,2.0,1300.0,2.0,2.0,61.0,0.04692307692307692
Built-up  Area,Ready To Move,Other,3.0,1480.0,2.0,0.0,145.0,0.09797297297297297
Super built-up  Area,Ready To Move,Hoodi,2.0,1105.0,2.0,2.0,46.37,0.04196380090497737
Plot  Area,Under Construction,Sarjapur  Road,3.0,2600.0,3.0,2.0,200.0,0.07692307692307693
Super built-up  Area,Under Construction,Yelahanka,3.0,1517.0,3.0,2.0,76.3,0.05029663810151615
Built-up  Area,Ready To Move,Horamavu Banaswadi,6.0,3800.0,8.0,0.0,200.0,0.05263157894736842
Super built-up  Area,Ready To Move,Jalahalli,3.0,1615.0,3.0,2.0,89.75,0.05557275541795666
Super built-up  Area,Ready To Move,Other,3.0,1500.0,3.0,2.0,65.0,0.043333333333333335
Super built-up  Area,Ready To Move,Mysore Road,3.0,1082.0,3.0,1.0,50.5,0.0466728280961183
